,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5,micro,macro
p,0.9230769230769231,0.7954545454545454,0.8378378378378378,0.8293838862559242,0.8911917098445595,0.8888888888888888,0.8640132669983416,0.8609722985597799
r,1.0,0.8536585365853658,0.8611111111111112,0.9615384615384616,0.9885057471264368,1.0,0.9630314232902033,0.9441356427268959
f1,0.9600000000000001,0.8235294117647058,0.8493150684931507,0.8905852417302799,0.9373297002724795,0.9411764705882353,0.9108391608391608,0.900322648808142

